genes	uniprot	uniprot.isoform	uniprot.chain	hgnc.symbol	ec-code	taxonomy	uniparc	rhea	go	ccds	ena.embl	refseq	bmrb	pdb	sasbdb	smr	biogrid	complexportal	dip	intact	chembl.target	drugbank	iuphar.receptor	cazy	ideal	merops	peroxibase	tcdb	dbsnp	proteomicsdb.protein	ensembl	ncbigene	kegg.genes	genecards	hgnc	hpa	mim	nextprot	orphanet	pharmgkb.gene	eggnog	genetree	hogenom	oma.grp	orthodb	treefam	biocyc	brenda	reactome	genewiki	bgee.gene	cdd	disprot	hamap	interpro	panther.family	pfam	pirsf	prints	prosite	smart	supfam	chromosome
CSNK1G3	Q9Y6M4	Q9Y6M4-1;Q9Y6M4-2;Q9Y6M4-3;Q9Y6M4-4;Q9Y6M4-5;Q9Y6M4-6	PRO_0000192846	CSNK1G3	2.7.11.1	9606	UPI000035B1BD	17989;46608	0004672;0004674;0004676;0004677;0004679;0004694;0004711;0005524;0005634;0005737;0005886;0006897;0007165;0016055;0035175;0035402;0035403;0035979;0036211;0044022;0044023;0044024;0044025;0072354;0072371;0072518;0090263;0106310;0140823;0140855;0140857;1990244	CCDS34218.1;CCDS4135.1;CCDS43355.1;CCDS59491.1;CCDS59492.1;CCDS59493.1	AF049089;AF049090;AK289405;AK299739;AK316019;AC008541;AC026422;CH471086;BC047567	NP_001026982.1;NP_001038188.1;NP_001257501.1;NP_001257502.1;NP_001257503.1;NP_001351078.1;NP_001351079.1;NP_004375.2;XP_005271949.1;XP_005271951.1;XP_005271952.1;XP_016864558.1;XP_047272705.1;XP_047272706.1;XP_047272714.1;XP_047272721.1;XP_047272722.1;XP_047272723.1;XP_047272724.1;XP_047272725.1;XP_054207651.1;XP_054207652.1;XP_054207653.1;XP_054207662.1;XP_054207670.1;XP_054207671.1;XP_054207672.1;XP_054207673.1;XP_054207674.1;XP_054207675.1;XP_054207676.1		2CHL;2IZR;2IZS;2IZT;2IZU;4G16;4G17;4HGL;4HGS;6GRO		Q9Y6M4	107840			Q9Y6M4	CHEMBL5084	DB07489;DB07664;DB04751;DB07488								1831;18613;5025;86730;86731;86732	ENST00000345990.9;ENST00000360683.6;ENST00000361991.6;ENST00000510842.6;ENST00000511130.6;ENST00000512718.7;ENST00000521364.5	1456	hsa:1456	CSNK1G3	2456	ENSG00000151292	604253	NX_Q9Y6M4		PA26956	KOG1165	ENSGT00940000160646	CLU_019279_2_0_1	YMTYVRS	5800476at2759	TF313349		2.7.11.1			ENSG00000151292	cd14126			IPR022247;IPR050235;IPR011009;IPR000719;IPR017441;IPR008271	PTHR11909	PF12605;PF00069			PS00107;PS50011;PS00108	SM00220	SSF56112	5
CSNK2A1	P68400	P68400-1;P68400-2	PRO_0000085883	CSNK2A1	2.7.11.1	9606	UPI0000000CB5	17989;46608	0004674;0004676;0004677;0004679;0004694;0004711;0005524;0005634;0005654;0005829;0005886;0005956;0006302;0006468;0006915;0006974;0007165;0008284;0016055;0016301;0016605;0017148;0030177;0030307;0032435;0035175;0035402;0035403;0035979;0042802;0044022;0044023;0044024;0044025;0045732;0048511;0050821;0051726;0051879;0061077;0070822;0072354;0072371;0072518;0075342;0106310;0140823;0140855;0140857;1905337;1905818;1990244;2000042;2001234	CCDS13003.1;CCDS13004.1	J02853;M55265;S53149;X70251;AK302583;BT019792;AB451279;AL049761;CH471133;BC011668;BC053532;BC071167	NP_001349699.1;NP_001349700.1;NP_001886.1;NP_808227.1;NP_808228.1		1JWH;1NA7;1PJK;2PVR;2ZJW;3AMY;3AT2;3AT3;3AT4;3AXW;3BQC;3C13;3FWQ;3H30;3JUH;3MB6;3MB7;3NGA;3NSZ;3OWJ;3OWK;3OWL;3PE1;3PE2;3PE4;3Q04;3Q9W;3Q9X;3Q9Y;3Q9Z;3QA0;3R0T;3RPS;3TAX;3U4U;3U87;3U9C;3W8L;3WAR;3WIK;3WIL;3WOW;4DGL;4FBX;4GRB;4GUB;4GYW;4GYY;4GZ3;4IB5;4KWP;4MD7;4MD8;4MD9;4NH1;4RLL;4UB7;4UBA;5B0X;5CLP;5CQU;5CQW;5CS6;5CSH;5CSP;5CSV;5CT0;5CTP;5CU0;5CU2;5CU3;5CU4;5CU6;5CVF;5CVG;5CVH;5CX9;5H8B;5H8E;5H8G;5HGV;5KU8;5KWH;5M44;5M4C;5M4F;5M4I;5MMF;5MMR;5MO5;5MO6;5MO7;5MO8;5MOD;5MOE;5MOH;5MOT;5MOV;5MOW;5MP8;5MPJ;5N1V;5N9K;5N9L;5N9N;5NQC;5OMY;5ONI;5OQU;5ORH;5ORJ;5ORK;5OS7;5OS8;5OSL;5OSP;5OSR;5OSU;5OSZ;5OT5;5OT6;5OTD;5OTH;5OTI;5OTL;5OTO;5OTP;5OTQ;5OTR;5OTS;5OTY;5OTZ;5OUE;5OUL;5OUM;5OUU;5OWH;5OWL;5OYF;5T1H;5VIE;5VIF;5ZN0;5ZN1;5ZN2;5ZN3;5ZN4;5ZN5;6A1C;6E37;6EHK;6EHU;6EII;6FVF;6FVG;6GIH;6GMD;6HBN;6HME;6HNW;6HNY;6HOP;6HOQ;6HOR;6HOT;6HOU;6JWA;6L1Z;6L21;6L22;6L23;6L24;6Q38;6Q4Q;6QY7;6RB1;6RCB;6RCM;6RFE;6RFF;6SPW;6SPX;6TEI;6TLL;6TLO;6TLP;6TLR;6TLS;6TLU;6TLV;6TLW;6YPG;6YPH;6YPJ;6YPK;6YPN;6YUL;6YUM;6YZH;6Z19;6Z83;6Z84;7A49;7A4B;7A4C;7A4Q;7AT5;7AY9;7AYA;7B8H;7B8I;7BU4;7L1X;7PSU;7QGB;7QGC;7QGD;7QGE;7QUX;7X4H;7Z39;7ZWE;7ZWG;7ZY0;7ZY2;7ZY5;7ZY8;7ZYD;7ZYK;7ZYO;7ZYR;8AE7;8AEC;8AEK;8AEM;8BGC;8C5Q;8C6L;8C6M;8C6N;8P05;8P06;8P07;8PVO;8PVP;8QQB;8QWY;8QWZ;9EPV;9EPW;9EPX;9EPY;9EPZ;9EQ0;9EQ1;9EZG;9FYF	P68400	P68400	107841	CPX-2437;CPX-914	DIP-32682N	P68400	CHEMBL3629	DB01765;DB03035;DB02170;DB08338;DB08354;DB08360;DB08353;DB07802;DB08345;DB03924;DB00171;DB03127;DB08473;DB04719;DB08846;DB07715;DB12010;DB08340;DB08362;DB04721;DB04395;DB04216;DB08660;DB02709;DB04720;DB04462	1549						rs869312845;rs869312849;rs869312848;rs869312840	57536;57537	ENST00000217244.9;ENST00000349736.10;ENST00000400217.7;ENST00000643660.1;ENST00000644003.1;ENST00000645623.1;ENST00000646305.1;ENST00000646477.1;ENST00000646561.1;ENST00000646814.1;ENST00000647348.1	1457	hsa:1457	CSNK2A1	2457	ENSG00000101266	115440;617062	NX_P68400	528084	PA26957	KOG0668	ENSGT00390000004215	CLU_000288_70_4_1	ECHMIEW	10254671at2759	TF300483		2.7.11.1	R-HSA-1483191;R-HSA-201688;R-HSA-2514853;R-HSA-445144;R-HSA-6804756;R-HSA-6814122;R-HSA-8934903;R-HSA-8939243;R-HSA-8948751;R-HSA-9755511;R-HSA-9828806	Casein_kinase_2,_alpha_1	ENSG00000101266	cd14132			IPR045216;IPR011009;IPR000719;IPR017441;IPR008271	PTHR24054;PTHR24054:SF16	PF00069			PS00107;PS50011;PS00108	SM00220	SSF56112	20
CSNK2A2	P19784		PRO_0000085891	CSNK2A2	2.7.11.1	9606	UPI0000000C95	17989;46608	0000785;0001669;0004674;0004676;0004677;0004679;0004694;0004711;0005524;0005634;0005654;0005829;0005956;0006302;0006915;0006974;0007283;0016055;0021987;0032435;0035175;0035402;0035403;0035979;0044022;0044023;0044024;0044025;0072354;0072371;0072518;0097421;0106310;0140823;0140855;0140857;1901524;1903955;1905818;1990244;2001234	CCDS10794.1	M55268;BC008812	NP_001887.1;XP_047289582.1;XP_054235601.1		3E3B;3OFM;3U87;5M4U;5M56;5OOI;5Y9M;5YF9;5YWM;6HMB;6HMC;6HMD;6HMQ;6L20;6QY8;6QY9;6TE2;6TEW;6TGU;7A1B;7A1Z;7A22;7A2H;7AT9;7ATV;7XYH;8Q77;8Q9S;8QBU;8QCD;8QCG;8QF1		P19784	107842	CPX-2428;CPX-2437	DIP-318N	P19784	CHEMBL4070	DB07546;DB12010	1550						rs55911801	53686	ENST00000262506.8	1459	hsa:1459	CSNK2A2	2459	ENSG00000070770	115442	NX_P19784		PA26959	KOG0668	ENSGT00390000004215		ACEKRPQ	10254671at2759	TF300483		2.7.11.1	R-HSA-1483191;R-HSA-201688;R-HSA-2514853;R-HSA-445144;R-HSA-6804756;R-HSA-6814122;R-HSA-8934903;R-HSA-8939243;R-HSA-8948751;R-HSA-9755511;R-HSA-9828806	CSNK2A2	ENSG00000070770	cd14132			IPR045216;IPR011009;IPR000719;IPR017441;IPR008271	PTHR24054;PTHR24054:SF34	PF00069			PS00107;PS50011;PS00108	SM00220	SSF56112	16
CSNK2B	P67870		PRO_0000068236	CSNK2B		9606	UPI000000026D		0000785;0001650;0003682;0004674;0005102;0005576;0005634;0005654;0005737;0005829;0005956;0007165;0008285;0016055;0016605;0018107;0019887;0019904;0030674;0032435;0032927;0033211;0034774;0042802;0043537;0046872;0051101;0060391;0061154;0061629;0065003;0070062;0075342;1903901;1904813	CCDS4712.1	X16937;X16312;M30448;X57152;AY113186;CR541699;AF129756;BA000025;DQ314868;AK311860;AL662899;AL670886;AL805934;BX511262;CR354443;CR753842;CR759761;CH471081;BC112017;BC112019	NP_001269314.1;NP_001311.3		1DS5;1JWH;1QF8;3EED;4DGL;4MD7;4MD8;4MD9;4NH1;6Q38		P67870	107843	CPX-2428;CPX-2437;CPX-914	DIP-131N	P67870	CHEMBL2358	DB00171;DB04216								57524	ENST00000375865.6;ENST00000375866.2;ENST00000375882.7;ENST00000383427.6;ENST00000383433.8;ENST00000400110.5;ENST00000412802.5;ENST00000418230.5;ENST00000422567.6;ENST00000429633.5;ENST00000431476.5;ENST00000436169.5;ENST00000443673.6;ENST00000448596.1;ENST00000451917.6;ENST00000452985.6;ENST00000453234.5;ENST00000454382.6;ENST00000454511.5;ENST00000455161.1;ENST00000458330.5	1460	hsa:1460	CSNK2B	2460	ENSG00000204435	115441;618732	NX_P67870	178469;689397	PA26960	KOG3092	ENSGT00390000003781	CLU_034027_3_3_1		3971593at2759	TF314462			R-HSA-1483191;R-HSA-201688;R-HSA-2514853;R-HSA-445144;R-HSA-6798695;R-HSA-6804756;R-HSA-6814122;R-HSA-8934903;R-HSA-8939243;R-HSA-8948751;R-HSA-9755511;R-HSA-9828806	CSNK2B	ENSG00000204435				IPR016149;IPR035991;IPR000704	PTHR11740;PTHR11740:SF0	PF01214		PR00472	PS01101	SM01085	SSF57798	6
CTH	P32929	P32929-1;P32929-2;P32929-3	PRO_0000114749	CTH	4.4.1.1;4.4.1.2	9606	UPI00001275DE	14005;24931;14501;24923;31151	0004123;0005516;0005737;0005829;0006534;0006629;0018272;0019343;0019344;0019346;0030170;0030968;0042802;0043123;0044524;0044540;0047982;0051289;0070062;0070814;0080146;0098606;1904831;1990830;2001234	CCDS53333.1;CCDS650.1;CCDS651.1	S52784;S52028;BT006882;AK303946;AK223376;AL354872;CH471059;BC015807	NP_001177392.1;NP_001893.2;NP_714964.2		2NMP;3COG;3ELP;5EIG;5TSU;5TT2;6NBA;6OVG		P32929	107873			P32929	CHEMBL4295745	DB02328;DB03928;DB00151;DB04217;DB00114	1444						rs28941785;rs28941786;rs1021737	19753;54890;54891	ENST00000346806.2;ENST00000370938.8;ENST00000411986.6	1491	hsa:1491	CTH	2501	ENSG00000116761	219500;607657	NX_P32929	212	PA27004	KOG0053	ENSGT00390000000312	CLU_018986_2_3_1	YKQDGVG	3512640at2759	TF300720	MetaCyc:HS04050-MONOMER	4.4.1.1	R-HSA-1614558;R-HSA-1614603;R-HSA-2408508		ENSG00000116761	cd00614			IPR000277;IPR054542;IPR015424;IPR015421;IPR015422	PTHR11808:SF15;PTHR11808	PF01053	PIRSF001434		PS00868		SSF53383	1
CTPS1	P17812	P17812-1;P17812-2	PRO_0000138275	CTPS1	6.3.4.2	9606	UPI0000132D63	26426	0003883;0005524;0005737;0005829;0006139;0006241;0009410;0016020;0019856;0042098;0042100;0042802;0044210;0097268	CCDS459.1	X52142;AK299122;AL391730;CH471059;BC009408	NP_001288166.1;NP_001896.2;XP_024309321.1;XP_024309322.1;XP_054190668.1;XP_054190669.1		2VO1;5U03;7MGZ;7MH0;7MIF;7MIG		P17812	107883			P17812	CHEMBL5291523	DB00130	3215			C26.A36			rs17856308	4927;53516	ENST00000372616.1;ENST00000470271.6;ENST00000649124.2;ENST00000650070.2;ENST00000696070.1	1503	hsa:1503	CTPS1	2519	ENSG00000171793	123860;615897	NX_P17812	420573	PA27020	KOG2387	ENSGT00910000144179	CLU_011675_5_0_1	EFNNAYR	1739076at2759	TF300379	MetaCyc:HS10382-MONOMER		R-HSA-499943	CTP_synthase_1	ENSG00000171793	cd03113;cd01746		MF_01227	IPR029062;IPR004468;IPR017456;IPR017926;IPR033828;IPR027417	PTHR11550;PTHR11550:SF8	PF06418;PF00117			PS51273		SSF52317;SSF52540	1
CTPS2	Q9NRF8		PRO_0000247033	CTPS2	6.3.4.2	9606	UPI0000073CBD	26426	0003883;0005524;0005737;0005739;0005829;0006220;0006241;0019856;0042802;0044210;0097268	CCDS14175.1	AF226667;AK023549;AK024070;AK125332;AK125348;AC073909;AL445467;CH471074;BC006256;BC034986	NP_001137474.1;NP_062831.3;NP_787055.1;XP_005274619.1;XP_006724566.1;XP_024308176.1;XP_047298215.1;XP_047298216.1;XP_047298217.1;XP_054183388.1;XP_054183389.1;XP_054183390.1		2V4U;2VKT;3IHL;6PK4;6PK7;7MH1;7MIH;7MII		Q9NRF8	121144			Q9NRF8	CHEMBL5291524		3216			C26.966				82349	ENST00000359276.9;ENST00000380241.7;ENST00000443824.5	56474	hsa:56474	CTPS2	2520	ENSG00000047230	300380	NX_Q9NRF8		PA27021	KOG2387	ENSGT00910000144179	CLU_011675_5_0_1	HAAMYCH	1739076at2759	TF300379	MetaCyc:HS00585-MONOMER	6.3.4.2	R-HSA-499943	CTPS2	ENSG00000047230	cd03113;cd01746			IPR029062;IPR004468;IPR017456;IPR017926;IPR033828;IPR027417	PTHR11550;PTHR11550:SF2	PF06418;PF00117			PS51273		SSF52317;SSF52540	X
CUL1	Q13616		PRO_0000119787	CUL1		9606	UPI00001286E6		0000082;0005634;0005654;0005737;0005829;0005886;0006513;0008283;0009887;0016567;0019005;0030674;0031146;0031461;0031625;0043123;0043161;0070936;0097193;0160072;1990452	CCDS34772.1	U58087;AF062536;BX537409;AC005229;CH471146;BC125119;BC125120	NP_001357589.1;NP_001357590.1;NP_001357591.1;NP_001357592.1;NP_001357593.1;NP_003583.2;XP_005250117.1;XP_011514931.1;XP_011514932.1;XP_011514933.1;XP_011514934.1		1LDJ;1LDK;1U6G;3RTR;3TDU;3TDZ;4F52;4P5O;5V89;6TTU;6WCQ;7B5L;7B5M;7B5N;7B5R;7B5S;7Z8R;7Z8T;7Z8V;7ZBW;7ZBZ;8CAF;8CDJ;8CDK;8OR0;8OR2;8OR3;8OR4;8UA6;8UBT;8UBU;9JKB		Q13616	114032	CPX-2239;CPX-2241;CPX-2319;CPX-2343;CPX-2365;CPX-2438;CPX-2489;CPX-2492;CPX-2512;CPX-2516;CPX-2538;CPX-2553;CPX-2554;CPX-2658;CPX-2683;CPX-2748;CPX-2773;CPX-2832;CPX-2873;CPX-3291;CPX-3292;CPX-3295;CPX-7747;CPX-7761;CPX-7762;CPX-7763;CPX-7784;CPX-7785;CPX-7786;CPX-7821;CPX-7822;CPX-7846;CPX-7847;CPX-7881;CPX-7882;CPX-7904;CPX-7905;CPX-7906;CPX-7921;CPX-7922;CPX-7923;CPX-7924;CPX-7925;CPX-7926;CPX-7927;CPX-7928;CPX-7929;CPX-7930;CPX-7962;CPX-7963;CPX-7965;CPX-7966;CPX-7967;CPX-7968;CPX-7971;CPX-7972;CPX-7973;CPX-7975;CPX-7976;CPX-7977;CPX-7979;CPX-7981;CPX-7982;CPX-7983;CPX-8002;CPX-8003;CPX-8005;CPX-8006;CPX-8108	DIP-17013N	Q13616	CHEMBL3758068				IID00133					59604	ENST00000325222.9;ENST00000409469.5;ENST00000602748.5;ENST00000662716.1;ENST00000663044.1;ENST00000665936.1	8454	hsa:8454	CUL1	2551	ENSG00000055130	603134	NX_Q13616		PA27047	KOG2166	ENSGT00940000154774		IREWDRY	27073at2759	TF101151	MetaCyc:ENSG00000055130-MONOMER		R-HSA-1169091;R-HSA-1170546;R-HSA-174113;R-HSA-187577;R-HSA-195253;R-HSA-202424;R-HSA-2122947;R-HSA-2565942;R-HSA-2644606;R-HSA-2644607;R-HSA-2871837;R-HSA-2894862;R-HSA-400253;R-HSA-5607761;R-HSA-5607764;R-HSA-5610780;R-HSA-5610783;R-HSA-5610785;R-HSA-5676590;R-HSA-5684264;R-HSA-68949;R-HSA-69231;R-HSA-8854050;R-HSA-8939902;R-HSA-8951664;R-HSA-9020702;R-HSA-917937;R-HSA-9604323;R-HSA-9708530;R-HSA-9725371;R-HSA-9762114;R-HSA-983168	CUL1	ENSG00000055130				IPR045093;IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390	PTHR11932	PF00888;PF10557			PS01256;PS50069	SM00182;SM00884	SSF75632;SSF74788;SSF46785	7
CUL2	Q13617	Q13617-1;Q13617-2	PRO_0000119790	CUL2		9606	UPI0000000DC6		0000082;0004842;0005654;0005730;0005829;0016567;0019005;0030674;0030891;0031146;0031462;0031625;0044877;0097193;0140627;0160072	CCDS55709.1;CCDS7179.1	U83410;AF126404;AK095217;AK300491;AL392046;CH471072;BC009591;BC110901;U58088	NP_001185706.1;NP_001185707.1;NP_001185708.1;NP_003582.2;XP_011518049.1;XP_054222930.1		4WQO;5N4W;6R6H;6R7F;6R7H;6R7I;6R7N;7PLO;8IJ1;8JAL;8JAQ;8JAR;8JAS;8JAU;8JAV;8JE1;8JE2;8PQL;8Q7R;8QU8;8R5H;8RWZ;8RX0;8WDK;8WQA;8WQB;8WQC;8WQE;8WQF;8WQG;8WQH		Q13617	114031	CPX-2214;CPX-2217;CPX-2218;CPX-2219;CPX-2220;CPX-2221;CPX-2222;CPX-2223;CPX-2226;CPX-2228;CPX-2229;CPX-2250	DIP-31612N	Q13617										32423;59605	ENST00000374748.5;ENST00000374749.8;ENST00000374751.7;ENST00000421317.5;ENST00000673636.2;ENST00000690393.1;ENST00000691974.1	8453	hsa:8453	CUL2	2552	ENSG00000108094	603135	NX_Q13617		PA27048	KOG2284	ENSGT00940000154926	CLU_004747_6_1_1		27073at2759	TF101152		2.3.2.32	R-HSA-1234176;R-HSA-8951664;R-HSA-9010553;R-HSA-983168	CUL2	ENSG00000108094		DP02753		IPR045093;IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390	PTHR11932	PF00888;PF10557			PS01256;PS50069	SM00182;SM00884	SSF75632;SSF74788;SSF46785	10
CUL3	Q13618	Q13618-1;Q13618-2;Q13618-3	PRO_0000119793	CUL3		9606	UPI0000001C83		0000082;0000122;0000209;0000922;0001822;0001831;0005112;0005634;0005654;0005737;0005794;0005813;0005827;0005829;0005886;0006511;0006513;0006888;0006954;0007080;0007229;0007369;0008284;0010467;0016020;0016055;0016477;0016567;0017145;0030030;0030332;0031145;0031208;0031398;0031463;0031625;0031648;0032467;0032480;0034599;0035024;0036126;0040016;0042802;0043149;0043161;0044346;0045842;0048208;0051865;0061630;0070062;0070936;0071230;0071630;0072576;0072686;0097193;0098794;0098978;0140252;0160072;1900076;1901992;1904263	CCDS2462.1;CCDS58751.1	AF064087;AB014517;AF062537;AY337761;AK291151;AC073052;AC092679;CH471063;BC031844;BC039598;BC092409;U58089;AF052147	NP_001244126.1;NP_001244127.1;NP_003581.1		2MYL;2MYM;4AP2;4APF;4EOZ;4HXI;5NLB;6I2M;8GQ6;8H33;8H34;8H35;8H36;8H37;8H38;8H3A;8H3F;8H3Q;8H3R;8I79;8K8T;8K9I;8KHP;8U80;8U81;8U82;8U83;8U84		Q13618	114030	CPX-2300;CPX-8007;CPX-8025;CPX-8041;CPX-8061;CPX-8063;CPX-8064;CPX-8083;CPX-8084;CPX-8085;CPX-8087;CPX-8088;CPX-8089;CPX-8090;CPX-8091;CPX-8097;CPX-8102;CPX-8103;CPX-8106;CPX-8107;CPX-8109;CPX-8110;CPX-8122;CPX-8123;CPX-8125;CPX-8126;CPX-8130;CPX-8131;CPX-8135;CPX-8147;CPX-8150;CPX-8151;CPX-8201;CPX-8202;CPX-8221;CPX-8222;CPX-8241;CPX-8242;CPX-8261;CPX-8262;CPX-8263;CPX-8916;CPX-8917;CPX-8918;CPX-8927;CPX-8935;CPX-8941;CPX-8942;CPX-9081	DIP-31611N	Q13618									rs2969802;rs17480168;rs1343840421;rs199469656;rs199469658;rs3738952;rs763087632	59606;59607;59608	ENST00000264414.9;ENST00000344951.8;ENST00000409096.5;ENST00000409777.5	8452	hsa:8452	CUL3	2553	ENSG00000036257	603136;614496;619239	NX_Q13618	528084;300530	PA27049	KOG2166	ENSGT00940000155066	CLU_004747_7_1_1	MFKDMTI	27073at2759	TF105858			R-HSA-4641258;R-HSA-5632684;R-HSA-5658442;R-HSA-8951664;R-HSA-9013418;R-HSA-9013422;R-HSA-9679191;R-HSA-9706019;R-HSA-9755511;R-HSA-983168	CUL3	ENSG00000036257				IPR045093;IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390	PTHR11932	PF00888;PF10557			PS01256;PS50069	SM00182;SM00884	SSF75632;SSF74788;SSF46785	2
CUL4A	Q13619	Q13619-1;Q13619-2	PRO_0000119795	CUL4A		9606	UPI000021C449		0000082;0001701;0005634;0005654;0005737;0006281;0006974;0007283;0008283;0008284;0016567;0030097;0030853;0031464;0031625;0034644;0035019;0042110;0042254;0043161;0045732;0048511;0061630;0080008;0097193;0140627;0160072;1900087;2000001;2000819	CCDS41908.1;CCDS9533.1	AF077188;AY365124;AB178950;AL136221;BC008308;AB012193;U58090	NP_001008895.1;NP_001265442.1;NP_001341867.1;NP_001341868.1;NP_001341869.1;NP_003580.1;XP_011535825.1		2HYE;4A0K;7OKQ;7OPC;7OPD;8B3G;8B3I		Q13619	114029	CPX-2399;CPX-2403;CPX-2405;CPX-2411;CPX-2413;CPX-2415;CPX-2757;CPX-2759;CPX-2766;CPX-2769;CPX-2782;CPX-2784;CPX-2785;CPX-2787;CPX-2795;CPX-2797;CPX-2799;CPX-2817;CPX-2818;CPX-477	DIP-31610N	Q13619	CHEMBL4523598				IID00514				rs2302757	59609;59610	ENST00000375440.9;ENST00000375441.7;ENST00000451881.5;ENST00000617546.4	8451	hsa:8451	CUL4A	2554	ENSG00000139842	603137	NX_Q13619		PA27050	KOG2167	ENSGT00940000156905	CLU_004747_7_2_1	KCINLMK	27073at2759	TF101153			R-HSA-110314;R-HSA-5696394;R-HSA-5696395;R-HSA-5696400;R-HSA-6781823;R-HSA-6781827;R-HSA-6782135;R-HSA-6782210;R-HSA-8951664	CUL4A	ENSG00000139842				IPR045093;IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390	PTHR11932	PF00888;PF10557			PS01256;PS50069	SM00182;SM00884	SSF75632;SSF74788;SSF46785	13
CUL4B	Q13620	Q13620-2;Q13620-1;Q13620-3	PRO_0000393946	CUL4B		9606	UPI0000246E48		0000082;0000209;0005634;0005654;0005829;0006511;0006974;0010467;0010498;0016567;0031175;0031464;0031465;0031625;0034644;0042254;0045732;0048708;0070062;0070914;0080008;1900087	CCDS35379.1;CCDS43987.1;CCDS94662.1	AY365125;AF212995;AK123688;AK299081;AK315037;BX537787;AC002476;AL451005;CH471107;BC036216;AB014595;U58091	NP_001073341.1;NP_001356074.1;NP_003579.3;XP_011529702.1		2DO7;4A0C;4A0L;4A64;8EI1		Q13620	114028	CPX-2404;CPX-2406;CPX-2407;CPX-2412;CPX-2414;CPX-2416;CPX-2758;CPX-2762;CPX-2765;CPX-2770;CPX-2777;CPX-2778;CPX-2783;CPX-2786;CPX-2804;CPX-2809;CPX-2816;CPX-2819;CPX-2859;CPX-648	DIP-31609N	Q13620	CHEMBL4523287								rs61759504;rs763692058;rs121434615	59611;59612;59613	ENST00000371322.11;ENST00000371323.3;ENST00000680673.1;ENST00000681253.1;ENST00000681652.1	8450	hsa:8450	CUL4B	2555	ENSG00000158290	300304;300354	NX_Q13620	85293	PA27051	KOG2167	ENSGT00940000155339	CLU_004747_7_2_1	NYQEQTW	27073at2759	TF101153			R-HSA-110314;R-HSA-5696394;R-HSA-5696395;R-HSA-5696400;R-HSA-6781823;R-HSA-6781827;R-HSA-6782135;R-HSA-6782210;R-HSA-8951664	CUL4B	ENSG00000158290				IPR045093;IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390	PTHR11932	PF00888;PF10557			PS01256;PS50069	SM00182;SM00884	SSF75632;SSF74788;SSF46785	X
CUL5	Q93034		PRO_0000119797	CUL5		9606	UPI00001380B0		0000082;0004842;0005262;0005634;0005829;0016567;0019005;0030674;0031146;0031466;0031625;0038023;0038026;0038128;0043161;0070979;0090734;0097193;0160072;2001222	CCDS31668.1	X81882;AF017061;AF327710;AK292575;CH471065;BC063306	NP_003469.2		3DPL;3DQV;4JGH;4N9F;6V9I;7ONI;8EI2;8FVI;8FVJ		Q93034	113743		DIP-43696N	Q93034	CHEMBL5291609				IID00519					75673	ENST00000393094.7;ENST00000531427.5	8065	hsa:8065	CUL5	2556	ENSG00000166266	601741	NX_Q93034		PA27052	KOG2285	ENSGT00940000156648	CLU_004747_5_0_1	FWINQQF	27073at2759	TF105874			R-HSA-180585;R-HSA-8863795;R-HSA-8951664;R-HSA-9705462;R-HSA-983168;R-HSA-9833109	CUL5	ENSG00000166266				IPR045093;IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390	PTHR11932	PF00888;PF10557			PS01256;PS50069	SM00182;SM00884	SSF75632;SSF74788;SSF46785	11
CYB561D2	O14569		PRO_0000151036	CYB561D2	7.2.1.3	9606	UPI000000DC32	66524;30403	0005783;0005789;0020037;0030659;0031982;0046872;0140571;0140575;0140576	CCDS2827.1	AF040704;AK291167;AC002481;CH471055;BC047691	NP_001278213.1;NP_001401634.1;NP_001401635.1;NP_001401636.1;NP_001401637.1;NP_001401638.1;NP_001401639.1;NP_001401640.1;NP_008953.1				O14569	116252			O14569										48090	ENST00000232508.9;ENST00000418577.1;ENST00000424512.5;ENST00000425346.6	11068	hsa:11068	CYB561D2	30253	ENSG00000114395	607068	NX_O14569		PA134977950	ENOG502QRPJ	ENSGT00440000038072	CLU_072399_3_0_1	IFYNKHL	432881at2759	TF323584					ENSG00000114395	cd08761			IPR045150;IPR006593	PTHR15422;PTHR15422:SF21	PF03188			PS50939	SM00665		3
